s_no,error_type,username,user_id,osm_location_link,changeset_id,changeset_link,osm_object_type,osm_object_id,time_utc,country,detail
38,node connected highway and building,KingVik,7159298,https://www.openstreetmap.org/#map=18/-2.183392/30.092150,189372445,https://www.openstreetmap.org/changeset/189372445,node,14053248008,2026-09-21T23:06:01Z,Rwanda,shared by highway way 1545007424 and building way 1545007412
39,node connected highway and building,KingVik,7159298,https://www.openstreetmap.org/#map=18/-2.182000/30.091160,189372445,https://www.openstreetmap.org/changeset/189372445,node,14053247948,2026-09-21T23:06:01Z,Rwanda,shared by highway way 1545007428 and building way 1545007410
40,duplicated node,Dannyoung,11010237,https://www.openstreetmap.org/#map=18/-0.359441/35.259120,189372253,https://www.openstreetmap.org/changeset/189372253,node,14205268159,2026-09-21T22:55:52Z,Kenya,within 0.05m of node 14205268443
41,duplicated node,Dannyoung,11010237,https://www.openstreetmap.org/#map=18/-0.359324/35.259174,189372253,https://www.openstreetmap.org/changeset/189372253,node,14205268162,2026-09-21T22:55:52Z,Kenya,within 0.03m of node 14205268445
42,duplicated node,Dannyoung,11010237,https://www.openstreetmap.org/#map=18/-0.359692/35.259612,189372253,https://www.openstreetmap.org/changeset/189372253,node,14205268172,2026-09-21T22:55:52Z,Kenya,within 0.05m of node 14205268478
43,duplicated node,Dannyoung,11010237,https://www.openstreetmap.org/#map=18/-0.359434/35.259771,189372253,https://www.openstreetmap.org/changeset/189372253,node,14205268177,2026-09-21T22:55:52Z,Kenya,within 0.02m of node 14205268473
44,node connected highway and building,DoloresReis,16805459,https://www.openstreetmap.org/#map=18/-2.010392/30.305358,189370907,https://www.openstreetmap.org/changeset/189370907,node,13679559262,2026-09-21T22:02:52Z,Rwanda,shared by highway way 1389052533 and building way 1492777557
45,node connected highway and building,DoloresReis,16805459,https://www.openstreetmap.org/#map=18/-2.010392/30.305358,189370907,https://www.openstreetmap.org/changeset/189370907,node,13679559261,2026-09-21T22:02:52Z,Rwanda,shared by highway way 1389052533 and building way 1492777557
46,node connected highway and building,DoloresReis,16805459,https://www.openstreetmap.org/#map=18/-2.010539/30.303535,189370907,https://www.openstreetmap.org/changeset/189370907,node,13679531791,2026-09-21T22:02:52Z,Rwanda,shared by highway way 1492777541 and building way 1492777564
47,node connected highway and building,DoloresReis,16805459,https://www.openstreetmap.org/#map=18/-2.010539/30.303535,189370907,https://www.openstreetmap.org/changeset/189370907,node,13679531792,2026-09-21T22:02:52Z,Rwanda,shared by highway way 1492777541 and building way 1492777563
48,node connected highway and building,DoloresReis,16805459,https://www.openstreetmap.org/#map=18/-2.028631/30.334675,189370696,https://www.openstreetmap.org/changeset/189370696,node,13678636202,2026-09-21T21:54:57Z,Rwanda,shared by highway way 677675467 and building way 1492687095
49,node connected highway and building,DoloresReis,16805459,https://www.openstreetmap.org/#map=18/-2.026497/30.330774,189370696,https://www.openstreetmap.org/changeset/189370696,node,13678617132,2026-09-21T21:54:57Z,Rwanda,shared by highway way 677675468 and building way 1492685478
50,node connected highway and building,DoloresReis,16805459,https://www.openstreetmap.org/#map=18/-2.043211/30.355903,189370696,https://www.openstreetmap.org/changeset/189370696,node,13694739193,2026-09-21T21:54:57Z,Rwanda,shared by highway way 946132836 and building way 1494534820
51,node connected highway and building,DoloresReis,16805459,https://www.openstreetmap.org/#map=18/-2.023781/30.334158,189370696,https://www.openstreetmap.org/changeset/189370696,node,10593930669,2026-09-21T21:54:57Z,Rwanda,shared by highway way 1136432904 and building way 1494117496
52,node connected highway and building,DoloresReis,16805459,https://www.openstreetmap.org/#map=18/-2.018073/30.325706,189370696,https://www.openstreetmap.org/changeset/189370696,node,10593951476,2026-09-21T21:54:57Z,Rwanda,shared by highway way 1136434598 and building way 1493507787
53,node connected highway and building,DoloresReis,16805459,https://www.openstreetmap.org/#map=18/-2.023794/30.332215,189370696,https://www.openstreetmap.org/changeset/189370696,node,13679004352,2026-09-21T21:54:57Z,Rwanda,shared by highway way 1136435913 and building way 1492724086
54,node connected highway and building,DoloresReis,16805459,https://www.openstreetmap.org/#map=18/-2.025273/30.332959,189370696,https://www.openstreetmap.org/changeset/189370696,node,10593960857,2026-09-21T21:54:57Z,Rwanda,shared by highway way 1136435915 and building way 1492724077
55,node connected highway and building,DoloresReis,16805459,https://www.openstreetmap.org/#map=18/-2.017262/30.326883,189370696,https://www.openstreetmap.org/changeset/189370696,node,10593983467,2026-09-21T21:54:57Z,Rwanda,shared by highway way 1136437907 and building way 1493510044
56,node connected highway and building,DoloresReis,16805459,https://www.openstreetmap.org/#map=18/-2.010392/30.305358,189370696,https://www.openstreetmap.org/changeset/189370696,node,13679559262,2026-09-21T21:54:57Z,Rwanda,shared by highway way 1389052533 and building way 1492777557
57,node connected highway and building,DoloresReis,16805459,https://www.openstreetmap.org/#map=18/-2.010392/30.305358,189370696,https://www.openstreetmap.org/changeset/189370696,node,13679559261,2026-09-21T21:54:57Z,Rwanda,shared by highway way 1389052533 and building way 1492777557
